annee;mois;jour;heure;pression;direction_vent;vitesse_vent;humidite;precipitation;temperature
2012;1;1;1;101700;160;3.1;91;0.4;9.9
2012;1;1;4;101740;200;4.6;89;0;10.6
2012;1;1;7;101770;180;4.6;91;0;10.7
2012;1;1;10;101820;180;6.2;88;0;11.7
2012;1;1;13;101750;180;4.6;86;0;12.3
2012;1;1;16;101620;190;5.1;84;0;12.9
2012;1;1;19;101610;190;6.2;85;0;12
2012;1;1;22;101500;190;5.7;86;0;11.8
2012;1;2;1;101310;200;4.6;84;0;11.4
2012;1;2;4;101140;190;4.1;77;0;11.7
2012;1;2;7;101000;200;4.1;81;0;11.3
2012;1;2;10;101040;210;7.2;82;0;11
2012;1;2;13;101290;250;6.7;72;1;10.1
2012;1;2;16;101600;240;5.7;78;0.2;8.4
2012;1;2;19;101860;250;4.1;73;0.2;7.9
2012;1;2;22;102130;270;3.1;70;0;7.2
2012;1;3;1;102370;230;3.1;73;0;6.4
2012;1;3;4;102580;200;4.1;81;0;4
2012;1;3;7;102610;200;5.1;81;0;3.6
2012;1;3;10;102430;190;5.7;82;0;4.8
2012;1;3;13;102110;180;7.7;67;0;7.7
2012;1;3;16;101860;180;5.1;62;0;9.3
2012;1;3;19;101580;210;9.3;67;0;10.2
2012;1;3;22;101460;180;8.7;66;0;11.6
2012;1;4;1;101270;180;6.7;79;0;10.4
2012;1;4;4;101480;270;7.2;77;5;7.6
2012;1;4;7;101700;270;6.2;68;0.4;8.2
2012;1;4;10;102300;260;7.7;83;0.8;5
2012;1;4;13;102410;260;5.7;62;0.2;7.6
2012;1;4;16;102490;240;5.7;59;0;7.1
2012;1;4;19;102440;200;5.1;68;0;5.5
2012;1;4;22;102200;200;6.7;74;0;5.7
2012;1;5;1;101610;200;8.2;74;0;6.3
2012;1;5;4;101060;210;10.8;75;0.2;7.1
2012;1;5;7;100630;210;10.8;80;0.2;7
2012;1;5;10;100320;200;8.7;84;1;6.4
2012;1;5;13;99700;240;9.8;82;1;9
2012;1;5;16;99890;280;5.7;77;5;6.5
2012;1;5;19;100230;290;7.7;71;2;6.6
2012;1;5;22;100510;270;5.1;72;0;6.3
2012;1;6;1;100910;300;6.7;77;0.2;4.1
2012;1;6;4;101250;300;7.7;73;0;4.1
2012;1;6;7;101560;290;7.2;70;0;4.4
2012;1;6;10;101840;290;6.7;71;0;4.7
2012;1;6;13;102020;300;5.7;69;0;6.6
2012;1;6;16;102340;290;6.7;72;0;6.4
2012;1;6;19;102590;280;4.6;73;0;5.5
2012;1;6;22;102750;270;3.6;77;0;5
2012;1;7;1;102770;250;4.1;76;0;3.4
2012;1;7;4;102650;190;3.6;75;0;2.9
2012;1;7;7;102420;180;5.7;79;0;2.7
2012;1;7;10;102320;190;6.2;79;0;3.9
2012;1;7;13;102100;180;5.1;86;0.2;4.9
2012;1;7;16;102010;200;4.6;81;0;6.9
2012;1;7;19;102170;290;4.6;77;0.2;7.7
2012;1;7;22;102360;250;3.1;71;0;6.5
2012;1;8;1;102360;270;3.1;75;0;6.1
2012;1;8;4;102350;250;3.1;74;0;6.2
2012;1;8;7;102270;220;3.6;76;0;5.8
2012;1;8;10;102420;290;2.6;78;0;5.9
2012;1;8;13;102330;290;5.7;72;1;7.6
2012;1;8;16;102470;300;5.1;71;0;7.7
2012;1;8;19;102640;260;3.1;82;0;4.6
2012;1;8;22;102760;260;3.1;79;0;5.6
2012;1;9;1;102880;280;2.6;77;0;5.7
2012;1;9;4;103010;240;1.5;79;0;4.7
2012;1;9;7;103050;170;1;89;0;3.5
2012;1;9;10;103150;200;1.5;90;0;4.5
2012;1;9;13;103140;160;2.6;89;0;6
2012;1;9;16;103100;180;1.5;89;0.4;6.1
2012;1;9;19;103250;170;3.1;87;0;6.2
2012;1;9;22;103280;180;3.6;90;0.2;5.9
2012;1;10;1;103320;180;3.1;91;0.4;5.7
2012;1;10;4;103380;170;1.5;92;0.2;5.9
2012;1;10;7;103440;190;2.1;94;0.6;5.4
2012;1;10;10;103540;190;2.1;94;0;5.8
2012;1;10;13;103530;200;1;90;0;7.9
2012;1;10;16;103560;150;1;86;0;8.7
2012;1;10;19;103580;190;1;91;0;5.7
2012;1;10;22;103570;130;2.1;94;0;4.9
2012;1;11;1;103580;140;1;95;0;3.3
2012;1;11;4;103610;0;0;96;0;1.8
2012;1;11;7;103590;190;1.5;97;0;2.2
2012;1;11;10;103740;200;1;97;0;2.5
2012;1;11;13;103670;190;2.1;92;0;4.6
2012;1;11;16;103590;190;2.6;90;0;5.7
2012;1;11;19;103660;180;1.5;91;0;4.8
2012;1;11;22;103580;210;0.5;94;0;2.3
2012;1;12;1;103520;200;0.5;95;0;-0.6
2012;1;12;4;103390;240;0.5;97;0;-2
2012;1;12;7;103230;190;1;97;0;-1.8
2012;1;12;10;103190;190;1.5;97;0;0.5
2012;1;12;13;103020;190;3.1;79;0;5.2
2012;1;12;16;102820;180;4.6;84;0;5
2012;1;12;19;102850;180;7.2;89;0;2.3
2012;1;12;22;102900;180;6.2;91;0;2.5
2012;1;13;1;102910;170;3.6;91;0.2;2.9
2012;1;13;4;102970;190;1.5;94;0.8;3.1
2012;1;13;7;102960;240;2.1;90;0;3.8
2012;1;13;10;102990;200;1.5;91;0;3.6
2012;1;13;13;102920;270;4.6;63;0;7.2
2012;1;13;16;102880;320;3.1;71;0;6.2
2012;1;13;19;103050;300;2.1;91;1;1.4
2012;1;13;22;103060;310;2.1;91;0;-0.2
2012;1;14;1;103050;170;1;92;0;-1.2
2012;1;14;4;103020;160;1.5;95;0;-2.1
2012;1;14;7;103010;240;0.5;96;0;-3.6
2012;1;14;10;102970;200;0.5;97;0;-1.2
2012;1;14;13;102830;260;0.5;74;0;3.8
2012;1;14;16;102730;340;1.5;68;0;4.4
2012;1;14;19;102780;280;1.5;88;0;-0.2
2012;1;14;22;102760;200;1;92;0;-1.8
2012;1;15;1;102660;300;0.5;93;0;-2.5
2012;1;15;4;102650;260;1;94;0;-3.5
2012;1;15;7;102630;340;0.5;94;0;-4.4
2012;1;15;10;102610;360;2.6;95;0;-0.9
2012;1;15;13;102460;20;3.6;79;0;3.1
2012;1;15;16;102350;20;5.1;74;0;3.3
2012;1;15;19;102420;40;4.6;78;0;1.1
2012;1;15;22;102460;20;3.1;81;0;-0.4
2012;1;16;1;102460;10;2.6;85;0;-1.8
2012;1;16;4;102480;20;3.6;87;0;-2.6
2012;1;16;7;102540;30;1.5;87;0;-3.1
2012;1;16;10;102650;20;3.1;80;0;-1.6
2012;1;16;13;102590;20;4.6;66;0;1.7
2012;1;16;16;102590;20;5.1;60;0;2.1
2012;1;16;19;102750;360;2.6;68;0;-0.1
2012;1;16;22;102890;340;2.6;83;0;-2.1
2012;1;17;1;102980;350;1.5;85;0;-3.2
2012;1;17;4;103030;290;1;90;0;-4.8
2012;1;17;7;103130;210;1.5;91;0;-6.3
2012;1;17;10;103240;100;1;92;0;-3.2
2012;1;17;13;103170;170;1;70;0;2.2
2012;1;17;16;103140;170;0.5;65;0;3.1
2012;1;17;19;103230;210;1;80;0;-1.5
2012;1;17;22;103290;220;1.5;90;0;-3.4
2012;1;18;1;103360;230;0.5;93;0;-4.2
2012;1;18;4;103370;160;1.5;93;0;-6
2012;1;18;7;103440;210;0.5;92;0;-6.5
2012;1;18;10;103430;230;1;94;0;-3
2012;1;18;13;103310;210;2.1;70;0;2.5
2012;1;18;16;103240;0;0;65;0;4
2012;1;18;19;103220;200;1;84;0;0.3
2012;1;18;22;103170;210;1;81;0;0.9
2012;1;19;1;103060;180;4.6;80;0;1.5
2012;1;19;4;102920;180;5.1;82;0;2.8
2012;1;19;7;102720;170;4.6;87;0.2;3.7
2012;1;19;10;102600;180;5.7;87;0;4.9
2012;1;19;13;102350;210;6.2;84;0;8.6
2012;1;19;16;102160;220;6.7;77;0;9.8
2012;1;19;19;102020;200;6.2;88;0.6;8.8
2012;1;19;22;101880;190;5.1;84;0;9.2
2012;1;20;1;101820;300;4.6;83;5;8.7
2012;1;20;4;101770;270;8.2;65;0;8.8
2012;1;20;7;101900;290;8.2;81;1;5.6
2012;1;20;10;102140;270;4.6;77;0;5.2
2012;1;20;13;102160;270;5.7;64;0;6.9
2012;1;20;16;101860;240;6.7;70;0;6.2
2012;1;20;19;101730;250;7.2;78;0.4;5.5
2012;1;20;22;101800;300;5.7;82;1;6.1
2012;1;21;1;102070;300;3.1;80;0.4;4.5
2012;1;21;4;102010;190;2.1;89;0;3.7
2012;1;21;7;101810;190;3.6;95;3;3.7
2012;1;21;10;101680;190;7.2;88;0.2;6.3
2012;1;21;13;101500;210;4.6;86;0;8.4
2012;1;21;16;101300;210;5.1;72;0;10.6
2012;1;21;19;101180;210;5.7;92;0.2;9
2012;1;21;22;101060;250;6.2;80;1;10.9
2012;1;22;1;101310;280;7.7;74;2;9
2012;1;22;4;101630;290;2.6;67;0;8
2012;1;22;7;101590;230;5.7;68;0;7.5
2012;1;22;10;101630;200;4.1;71;0;6.7
2012;1;22;13;101540;240;8.2;59;0;8.5
2012;1;22;16;101470;240;9.3;70;0;8.2
2012;1;22;19;101590;220;5.7;75;0.2;7.7
2012;1;22;22;101720;220;4.1;84;0.2;7
2012;1;23;1;101820;290;5.1;80;0.8;6.7
2012;1;23;4;101840;180;2.1;91;0.6;5.5
2012;1;23;7;101820;220;3.6;93;0.2;5.6
2012;1;23;10;101870;220;3.1;89;0.2;6.3
2012;1;23;13;101890;210;1.5;81;0.4;7.6
2012;1;23;16;101880;240;2.6;82;0.6;6.6
2012;1;23;19;101940;280;4.6;79;0.4;5.8
